geoname,code,geofips,description,year,dollars
Alabama,AL, 01000,Personal consumption expenditures,1997,74340.3
Alabama,AL, 01000,Goods,1997,30295.9
Alabama,AL, 01000,Durable goods,1997,10102.1
Alabama,AL, 01000,Motor vehicles and parts,1997,4891.9
Alabama,AL, 01000,Furnishings and durable household equipment,1997,2221.4
Alabama,AL, 01000,Recreational goods and vehicles,1997,1907.8
Alabama,AL, 01000,Other durable goods,1997,1081.0
Alabama,AL, 01000,Nondurable goods,1997,20193.8
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,1997,7742.9
Alabama,AL, 01000,Clothing and footwear,1997,3549.5
Alabama,AL, 01000,Gasoline and other energy goods,1997,2437.2
Alabama,AL, 01000,Other nondurable goods,1997,6464.2
Alabama,AL, 01000,Services,1997,44044.5
Alabama,AL, 01000,Household consumption expenditures (for services),1997,43244.5
Alabama,AL, 01000,Housing and utilities,1997,10965.1
Alabama,AL, 01000,Health care,1997,12476.8
Alabama,AL, 01000,Transportation services,1997,2098.2
Alabama,AL, 01000,Recreation services,1997,3274.5
Alabama,AL, 01000,Food services and accommodations,1997,4194.7
Alabama,AL, 01000,Financial services and insurance,1997,4754.1
Alabama,AL, 01000,Other services,1997,5481.2
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),1997,800.0
Alabama,AL, 01000,Gross output of nonprofit institutions,1997,6320.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,1997,5520.0
Alabama,AL, 01000,Personal consumption expenditures,1998,77946.9
Alabama,AL, 01000,Goods,1998,31317.4
Alabama,AL, 01000,Durable goods,1998,10809.0
Alabama,AL, 01000,Motor vehicles and parts,1998,5286.7
Alabama,AL, 01000,Furnishings and durable household equipment,1998,2335.7
Alabama,AL, 01000,Recreational goods and vehicles,1998,2013.6
Alabama,AL, 01000,Other durable goods,1998,1172.9
Alabama,AL, 01000,Nondurable goods,1998,20508.5
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,1998,7856.7
Alabama,AL, 01000,Clothing and footwear,1998,3671.0
Alabama,AL, 01000,Gasoline and other energy goods,1998,2121.2
Alabama,AL, 01000,Other nondurable goods,1998,6859.6
Alabama,AL, 01000,Services,1998,46629.5
